判定結果,TF-IDF値,出現回数,優先値,連結回数,固有度
0,0.30102293951554143,13,1.0,3,0.0
1,0.3785857059955122,3,2.0,0,0.0
0,0.4052268415842469,3,2.0,0,0.0
1,0.38890859999022,1,1.5,0,0.0
0,0.2282429235202964,1,1.5,0,0.0
1,0.3979300087413648,4,3.5,1,0.0
1,0.3979300087413648,4,4.7,0,0.0
0,0.2282429235202964,1,0.6,0,0.0
1,0.3743441882173821,3,2.0,0,0.0
0,0.4824479581068789,2,2.0,0,0.0
1,0.4262630026535185,1,2.5,0,0.0
1,0.2980163173808827,1,2.0,1,0.0
1,0.3837369886378156,1,2.0,0,0.0
1,0.24139128616808064,3,1.5,1,0.0
0,0.4540324334864155,2,2.0,1,0.0
0,0.579026706156607,1,2.0,0,0.0
0,0.4295095474843318,1,1.0,0,0.0
0,0.4206333570797176,2,2.0,0,0.5
0,0.2391967918426312,4,2.0,0,0.0
1,0.29091371549246897,1,3.0,0,0.0
0,0.2797904670277053,2,2.0,1,0.0
0,0.3290218034945666,1,1.0,0,0.0
1,0.38890859999022,1,1.0,0,0.0
1,0.24497527653730236,2,2.0,0,0.0
1,0.4262630026535185,1,2.5,0,0.0
0,0.3378898406700041,3,1.0,0,0.0
1,0.4148885408733919,1,2.0,0,0.0
1,0.41307744169710814,3,1.0,6,0.0
0,0.3995015700191827,1,0.5,0,0.0
0,0.4869279657743636,2,0.5,0,0.0
0,0.3344247284525142,1,1.6,0,0.0
0,0.2282429235202964,1,1.0,0,0.0
2,0.26425608732319045,15,1.0,0,0.0
1,0.5539672209719944,1,2.5,0,0.0
1,0.38890859999022,1,2.0,1,0.0
1,0.3606780018571903,4,2.3,1,0.3333333333333333
2,0.4872654826426345,1,1.5,22,0.0
1,0.5107370118650769,1,2.0,0,0.0
0,0.4301844962641761,5,1.0,15,0.0
0,0.3837369886378156,1,2.0,0,0.0
0,0.2980163173808827,1,2.0,0,0.0
0,0.6133592250693843,1,6.7,0,0.0
0,0.4682174387787446,2,4.7,1,0.0
1,0.5291549600409159,1,2.5,0,0.0
0,0.3639329986107921,2,1.0,6,0.0
1,0.330536602152414,4,2.5,0,0.0
1,0.368133594001052,3,2.5,0,0.0
1,0.330536602152414,4,2.0,3,0.0
1,0.5370958812974478,1,1.5,11,0.0
0,0.3524996071261541,3,2.0,0,0.0
0,0.3524996071261541,3,2.0,0,0.0
1,0.3520429105977464,5,2.0,0,0.0
1,0.3701179974567873,2,1.5,0,0.0
1,0.4477886730103872,1,2.0,0,0.0
1,0.36718124060479146,6,2.0,0,0.0
0,0.3903213424337025,2,1.5,0,0.0
0,0.4462812603599587,3,2.0,0,0.0
1,0.29210788261214315,10,1.8,0,0.5
2,0.2829273468318628,14,1.0,32,0.0
0,0.4536764851109284,2,1.0,0,0.0
0,0.4707075110538352,1,1.5,0,0.0
0,0.239971506113508,1,1.0,0,0.0
0,0.4148885408733919,1,2.0,0,0.0
1,0.24497527653730236,2,2.5,0,0.0
0,0.2797904670277053,2,1.5,0,0.0
0,0.6113734190592989,3,2.5,0,0.0
1,0.6133592250693843,1,3.0,1,0.0
0,0.35302752421789185,1,3.0,0,0.0
0,0.5097866043335099,3,3.0,0,0.0
1,0.4295095474843318,1,6.7,0,0.0
1,0.24497527653730236,2,2.0,0,0.0
1,0.2980163173808827,1,3.0,0,0.0
0,0.239971506113508,1,2.0,1,0.0
0,0.4448848019662363,3,1.0,5,0.0
1,0.3701179974567873,2,1.5,0,0.0
1,0.415492731960516,1,6.0,0,0.0
1,0.4261323872645159,1,3.5,0,0.0
1,0.415492731960516,1,3.0,0,0.0
1,0.415492731960516,1,3.3,0,0.25
1,0.2908369888332297,12,2.5,4,0.0
1,0.3546264996066957,8,1.5,0,0.0
1,0.4761275488510668,3,1.8,0,0.5
2,0.4430141576109437,5,1.0,32,0.0
0,0.2233379493218431,2,1.0,1,0.0
1,0.24497527653730236,2,3.0,0,0.0
1,0.4525869507552199,3,3.0,0,0.0
1,0.4525869507552199,3,2.5,3,0.0
1,0.44054071962265823,1,2.0,0,0.0
1,0.36776764824983577,2,2.8,0,0.5
0,0.2528342256586627,3,2.0,2,0.0
1,0.2528342256586627,3,2.2,3,0.0
1,0.32623432758185866,2,2.0,0,0.5
1,0.415492731960516,1,3.2,4,0.0
1,0.5643454686533994,2,3.2,0,0.0
1,0.338746144589827,10,2.2,2,0.0
1,0.5925421766307294,1,1.2,0,0.0
0,0.4235509257414269,2,4.0,0,0.0
0,0.24573252455194294,1,4.0,0,0.0
0,0.4477886730103872,1,2.0,1,0.0
0,0.24497527653730236,2,4.2,0,0.0
1,0.4102444820132479,4,3.0,0,0.0
1,0.3344247284525142,1,2.0,9,0.0
1,0.35302752421789185,1,5.7,0,0.0
1,0.2980163173808827,1,5.7,0,0.0
1,0.5107370118650769,1,4.7,0,0.0
1,0.4257320192064764,4,4.7,1,0.0
1,0.3068169945596113,9,4.2,0,0.0
1,0.3672798620724483,1,7.7,0,0.0
1,0.3837369886378156,1,5.7,1,0.0
1,0.6922964154788211,1,6.7,0,0.0
1,0.4154141395862509,1,7.7,0,0.0
1,0.2849705204270748,9,4.5,0,0.5
2,0.2974706810146108,12,3.7,34,0.0
1,0.3633214039519043,1,3.5,0,0.0
1,0.3864125408053144,1,3.5,0,0.0
1,0.4707075110538352,1,3.2,0,1.0
0,0.3344247284525142,1,0.8,0,1.0
1,0.4707075110538352,1,0.0,0,0.0
2,0.37527311208072295,15,4.0,0,0
2,0.3712285424612107,15,4.0,0,0
2,0.3611432818258359,15,4.0,0,0
2,0.3501747268299163,15,4.0,0,0
2,0.30028900678488296,15,4.0,0,0
2,0.40862273565138707,14,4.0,32,0
2,0.4042186935210862,14,4.0,32,0
2,0.3851123957332619,14,4.0,32,0
2,0.3660581570529522,14,4.0,32,0
2,0.34590845653452895,14,4.0,32,0
2,0.30871457330163105,14,4.0,32,0
2,0.41994373539316726,5,4.0,32,0
2,0.4011344030997069,5,4.0,32,0
2,0.4872654826426345,1,6.0,22,0.0
2,0.4872654826426345,1,6.0,22,0.0
2,0.4152611767484152,12,10.0,4,0.0
2,0.3629827923147592,12,10.0,4,0.0
0,0.4611151093,2,0.2,0,0
0,0.4495329197,1,0.3,0,0
0,0.4454058773,1,0.3,0,0
0,0.4409379215,1,0.2,2,0
0,0.4328595781,1,0.2,0,0
0,0.4217181149,3,0.2,0,0
0,0.4180132215,1,0.2,0,0
0,0.4176889354,1,0.5,0,0
0,0.4065560917,1,0.2,0,0
0,0.3975351563,2,0.2,0,0
0,0.3669391098,3,0.2,0,0
0,0.3658849195,1,0.1,1,0
0,0.3658849195,1,0.2,0,0
0,0.3635703392,3,0.2,0,0
0,0.3592473415,1,0.3,0,0
0,0.3592473415,1,0.2,0,0
0,0.3577203742,1,0.7,0,0
0,0.353329203,1,0.1,0,0
0,0.340348695,2,0.2,0,0
0,0.3057988765,1,0.3,0,0
0,0.3008546001,2,0.2,0,0
1,0.2980163173808827,1,2.0,1,0.0
1,0.3837369886378156,1,2.0,0,0.0
1,0.3274292414451091,3,1.5,1,0.0
1,0.5585919948972397,2,2.0,1,0.0
1,0.4550012486115284,3,1.0,6,0.0
1,0.3274292414451091,3,1.5,1,0.0
2,0.4152611767484152,12,2.5,4,0.0
2,0.3629827923147592,12,2.5,4,0.0




